,item_identifier,item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type,item_outlet_sales
0,DRC01,5.920000076293945,Regular,0.019278216,Soft Drinks,48.26919937133789,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228
1,FDN15,17.5,Low Fat,0.016760075,Meat,141.6179962158203,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27
2,NCD19,8.930000305175781,Low Fat,0.0,Household,53.86140060424805,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052
3,FDP36,10.395000457763672,Regular,0.0,Baking Goods,51.40079879760742,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088
4,FDO10,13.649999618530273,Regular,0.012741089,Snack Foods,57.65879821777344,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528
5,FDY07,11.800000190734863,Low Fat,0.0,Fruits and Vegetables,45.540199279785156,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266
6,FDA03,18.5,Regular,0.045463773,Dairy,144.11019897460938,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153
7,FDX32,15.100000381469727,Regular,0.1000135,Fruits and Vegetables,145.47860717773438,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646
8,FDS46,17.600000381469727,Regular,0.047257328,Snack Foods,119.6781997680664,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076
9,FDF32,16.350000381469727,Low Fat,0.0680243,Fruits and Vegetables,196.44259643554688,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426
10,FDP49,9.0,Regular,0.069088961,Breakfast,56.36140060424805,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192
11,NCB42,11.800000190734863,Low Fat,0.008596051,Health and Hygiene,115.34919738769531,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888
12,FDP49,9.0,Regular,0.069196376,Breakfast,54.36140060424805,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982
13,FDU02,13.350000381469727,Low Fat,0.10249212,Dairy,230.5352020263672,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224
14,FDN22,18.850000381469727,Regular,0.138190277,Snack Foods,250.87240600585938,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086
